Date,Average Temperature (ºF),Average Dew Point (ºF),Average Humidity (%),Maximum Wind Speed (mph),Average Wind Speed (mph),Average Pressure (inHg),Precipitation (in)
5/1/15,58.6,52.7,81.6,16,6.4,29.9,0
5/2/15,55.4,49.7,82.2,18,5.5,29.9,0
5/3/15,57.5,49.4,75.1,17,7.7,29.9,0
5/4/15,59,49,70.2,14,7.2,29.9,0
5/5/15,59.2,48.3,67.7,12,6.3,29.9,0
5/6/15,58.1,45.5,64.3,17,6.4,29.9,0
5/7/15,55.8,45.6,69.3,23,9.8,29.8,0
5/8/15,56.8,47.9,72.6,16,5.8,29.9,0
5/9/15,57.3,48.6,73.9,14,5.1,30,0
5/10/15,59.3,50.9,75.1,14,5.2,29.9,0
5/11/15,60.5,52.9,76.6,9,5.2,29.9,0
5/12/15,59.8,45.8,61.4,13,5.5,29.9,0
5/13/15,59.9,45.8,60.4,14,6.7,29.9,0
5/14/15,57.4,48.4,72.8,15,5.3,29.9,0
5/15/15,60.5,48.4,66.4,15,5.8,29.8,0.32
5/16/15,59.4,50,71.8,15,6.2,29.9,0
5/17/15,58.5,50.8,77,12,4.2,30,0
5/18/15,62.5,46.4,57.3,21,7.7,30,0
5/19/15,61.9,47.8,60.8,13,5.9,30,0
5/20/15,61.5,49.3,64.7,15,5.3,29.9,0
5/21/15,59.8,48.8,67.6,20,8.6,29.9,0
5/22/15,61.8,49.7,64.9,21,9.5,30,0
5/23/15,61.3,49.4,66,12,5,30,0
5/24/15,60.5,50.3,70.1,14,6.2,30,0
5/25/15,59.9,52.3,76.4,14,5.8,29.9,0
5/26/15,58.6,51.8,78.6,13,5.9,30,0
5/27/15,61,53.4,77,13,7,30,0
5/28/15,59.5,53.4,81.1,12,6,29.9,0
5/29/15,59.7,54.8,84.4,12,6.3,29.9,0
5/30/15,59,54.9,87,10,5.7,29.9,0
5/31/15,58.1,53.8,86.2,14,6.2,29.9,0
6/1/15,59.7,53.7,80.9,12,6.7,30,0
6/2/15,60.9,55.7,83.8,12,5.3,29.9,0
6/3/15,61.1,53.9,78.3,12,5.8,29.9,0
6/4/15,63.7,50.8,63.5,12,4.8,29.8,0
6/5/15,60.4,52.1,74.9,14,6.4,29.8,0
6/6/15,60.5,54,79.8,13,5.3,29.9,0
6/7/15,62.4,55.9,79.9,12,6.9,29.8,0
6/8/15,61.7,57.5,86.9,12,6.3,29.8,0
6/9/15,61.4,59.4,93.2,10,4.7,29.8,0
6/10/15,65.2,61.1,86.7,13,7.3,29.9,0.3
6/11/15,62.6,59.4,89.8,13,6.4,29.8,0
6/12/15,62.3,58.1,86.5,12,4.8,29.8,0
6/13/15,63,58.4,85.7,13,5.3,29.8,0
6/14/15,62.2,57.9,86.2,14,7.2,29.8,0
6/15/15,63.3,57.2,81.2,9,5.6,29.8,0
6/16/15,63.8,56.6,78.4,9,6.2,29.9,0
6/17/15,63,57,81.1,10,5.2,29.9,0
6/18/15,62.1,56.8,83.5,9,5.3,29.9,0
6/19/15,64.2,57.3,79.4,10,4.5,29.8,0
6/20/15,66.2,56.9,72.7,8,4.8,29.8,0
6/21/15,65.5,57.7,76.3,12,5.2,29.9,0
6/22/15,65,56.1,73.9,9,4.5,29.9,0
6/23/15,66.8,56.3,70,12,5.4,29.9,0
6/24/15,67.2,56.4,69.8,10,5,29.9,0
6/25/15,62.4,56.8,82.4,13,4.8,29.9,0
6/26/15,62.6,57.1,82.6,14,6.9,29.9,0
6/27/15,64,57.4,79.7,13,6.1,29.9,0
6/28/15,68.2,58.9,73.5,9,5,29.9,0
6/29/15,68.2,58.9,73.4,10,4.9,29.9,0
6/30/15,68,59.4,75,14,6,29.9,0
7/1/15,65.7,59.8,81.9,10,5.1,29.9,0
7/2/15,66.5,60,80.4,16,6.9,29.9,0
7/3/15,64.9,59.5,83.1,13,6.7,29.9,0
7/4/15,65.9,59.1,79.4,16,7.8,29.9,0
7/5/15,65,58.5,79.8,13,7.2,29.9,0
7/6/15,65.3,58.9,80,10,6.5,30,0
7/7/15,66.5,59.3,77.8,10,6,29.9,0
7/8/15,67,58.4,74.4,12,5.4,29.8,0
7/9/15,65.3,56.1,73.3,16,6.9,29.9,0
7/10/15,65.8,57.2,74.6,13,7,29.9,0
7/11/15,68.1,57.5,70.3,12,5.2,29.9,0
7/12/15,69.9,59.1,69.8,10,6.5,29.9,0
7/13/15,70.7,58.2,65.6,15,6,29.9,0
7/14/15,68.4,59.7,74.5,12,6,29.8,0
7/15/15,67.8,59.1,74.2,14,7.1,29.9,0
7/16/15,65.8,58.8,78.8,13,6.8,29.9,0
7/17/15,64.4,56.9,76.8,14,4.9,29.8,0
7/18/15,67.1,57.5,72.4,13,4.7,29.9,0
7/19/15,76.5,64.5,68,10,4.7,30,0
7/20/15,75,67.1,76.8,14,5,29.9,0.01
7/21/15,70.9,66.2,85.4,14,5.5,29.9,0
7/22/15,69.3,62.8,79.9,12,4.2,29.9,0
7/23/15,69.3,62.9,80.3,10,4.2,29.9,0
7/24/15,70.2,61.7,75.7,10,5.4,30,0
7/25/15,71.1,62,74.2,13,5.7,29.9,0
7/26/15,71.3,61.3,71.9,12,6.4,29.9,0
